time,voltage_ch1,voltage_ch2,voltage_ch3,voltage_ch4
0.000152448,2.2,1.0,0.0,0.0
0.00015248,2.2,1.2,0.0,0.0
0.000152512,2.2,1.0,0.0,0.0
0.000152544,2.2,1.2,0.0,0.2
0.000152576,2.0,1.2,0.0,0.0
0.000152608,2.2,1.2,0.0,0.0
0.00015264,2.2,1.2,0.0,0.0
0.000152672,2.2,1.2,0.0,0.0
0.000152704,2.0,1.0,0.0,0.0
0.000152736,2.0,1.0,0.0,0.0
0.000152768,2.2,1.2,0.0,0.0
0.0001528,2.0,1.0,0.0,0.0
0.000152832,2.2,1.0,-0.2,0.0
0.000152864,2.2,1.0,0.0,0.0
0.000152896,2.0,1.0,0.0,0.0
0.000152928,2.2,1.0,0.0,0.0
0.00015296,2.0,1.0,0.0,0.0
0.000152992,2.2,1.0,-0.2,0.2
0.000153024,2.2,1.0,0.0,0.0
0.000153056,2.2,1.0,0.0,0.0
0.000153088,2.2,1.0,0.0,0.0
0.00015312,2.2,1.0,0.0,0.0
0.000153152,2.0,1.0,0.0,0.2
0.000153184,2.2,1.2,0.0,0.0
0.000153216,2.2,1.2,-0.2,0.0
0.000153248,2.0,1.2,0.0,0.0
0.00015328,2.2,1.0,0.0,-0.2
0.000153312,2.2,1.0,0.0,0.0
0.000153344,2.2,1.2,0.0,0.0
0.000153376,2.2,1.2,0.0,0.0
0.000153408,2.0,1.2,0.0,0.0
0.00015344,2.0,1.2,0.0,0.0
0.000153472,2.2,1.0,0.0,0.0
0.000153504,2.0,1.0,0.0,0.0
0.000153536,2.2,1.0,0.0,-0.2
0.000153568,2.2,1.0,0.0,0.0
0.0001536,2.2,1.2,0.0,0.0
0.000153632,2.0,1.0,0.0,0.0
0.000153664,2.0,1.0,0.0,0.0
0.000153696,2.0,1.0,0.0,0.0
0.000153728,2.2,1.0,0.0,0.0
0.00015376,2.2,1.0,0.0,0.0
0.000153792,2.2,1.2,0.0,0.0
0.000153824,2.2,1.0,0.2,0.2
0.000153856,2.2,1.2,0.0,0.0
0.000153888,2.2,1.2,0.0,0.0
0.00015392,2.2,1.2,0.0,0.0
0.000153952,2.0,1.0,0.0,0.0
0.000153984,2.2,1.2,0.0,0.0
0.000154016,2.2,1.2,0.0,0.0
0.000154048,2.0,1.0,0.0,0.0
0.00015408,2.0,1.0,0.0,0.0
0.000154112,2.0,1.0,0.0,0.0
0.000154144,2.2,1.0,0.0,0.0
0.000154176,2.2,1.2,0.0,0.0
0.000154208,2.2,1.2,0.0,0.0
0.00015424,2.2,1.0,0.0,0.0
0.000154272,2.2,1.2,0.0,0.0
0.000154304,2.2,1.2,0.0,0.2
0.000154336,2.2,1.2,0.0,0.0
0.000154368,2.2,1.0,-0.2,0.0
0.0001544,2.2,1.0,0.0,0.0
0.000154432,2.2,1.2,0.0,0.2
0.000154464,2.0,1.0,0.0,0.0
0.000154496,2.2,1.2,0.0,0.2
0.000154528,2.2,1.0,0.0,0.0
0.00015456,2.2,1.2,0.0,0.0
0.000154592,2.2,1.2,0.0,0.0
0.000154624,2.0,1.0,0.0,0.0
0.000154656,2.2,1.2,0.0,0.0
0.000154688,2.2,1.2,0.0,0.0
0.00015472,2.2,1.0,0.0,0.2
0.000154752,2.2,1.0,0.0,0.0
0.000154784,2.2,1.0,0.0,0.0
0.000154816,2.2,1.2,0.0,0.0
0.000154848,2.0,1.2,0.0,0.2
0.00015488,2.2,1.0,0.0,0.0
0.000154912,2.0,1.0,0.0,0.0
0.000154944,2.0,1.2,0.0,0.0
0.000154976,2.2,1.2,0.0,0.0
0.000155008,2.2,1.0,0.0,0.0
0.00015504,2.0,1.2,0.0,0.2
0.000155072,2.2,1.2,-0.2,0.0
0.000155104,2.2,1.2,0.0,0.0
0.000155136,2.2,1.0,0.0,0.0
0.000155168,2.2,1.0,-0.2,0.2
0.0001552,2.0,1.0,0.0,0.0
0.000155232,2.0,1.0,0.0,0.0
0.000155264,2.2,1.2,0.0,0.2
0.000155296,2.2,1.0,0.0,0.0
0.000155328,2.2,1.0,0.0,0.0
0.00015536,2.0,1.0,-0.2,0.2
0.000155392,2.2,1.2,0.0,0.2
0.000155424,2.2,1.0,0.0,0.0
0.000155456,2.2,1.0,0.0,0.0
0.000155488,2.2,1.2,0.0,0.0
0.00015552,2.0,1.0,0.0,0.0
0.000155552,2.2,1.0,0.0,0.0
0.000155584,2.2,1.2,0.0,0.0
0.000155616,2.2,1.0,0.0,0.0
0.000155648,2.0,1.0,0.0,0.0
0.00015568,2.0,1.0,0.0,0.0
0.000155712,2.2,1.0,0.0,0.0
0.000155744,2.2,1.0,0.0,0.0
0.000155776,2.2,1.0,0.0,0.0
0.000155808,2.2,1.2,0.0,0.0
0.00015584,2.0,1.2,0.0,0.0
0.000155872,2.0,1.0,0.0,0.2
0.000155904,2.2,1.0,0.0,0.0
0.000155936,2.0,1.0,0.0,0.0
0.000155968,2.0,1.2,0.0,0.0
0.000156,2.0,1.2,-0.2,0.0
0.000156032,2.2,1.2,0.0,0.0
0.000156064,2.2,1.2,0.0,0.2
0.000156096,2.2,1.2,0.0,0.0
0.000156128,2.2,1.2,0.0,0.0
0.00015616,2.2,1.0,0.0,0.2
0.000156192,2.2,1.2,0.0,0.0
0.000156224,2.2,1.0,0.0,0.0
0.000156256,2.2,1.0,0.0,0.0
0.000156288,2.2,1.0,0.0,0.0
0.00015632,2.2,1.0,0.0,0.0
0.000156352,2.0,1.2,0.0,0.0
0.000156384,2.2,1.0,0.0,0.2
0.000156416,2.2,1.0,0.0,0.0
0.000156448,2.2,1.2,0.0,0.2
0.00015648,2.0,1.0,0.0,0.2
0.000156512,2.0,1.2,0.0,0.2
0.000156544,2.2,1.0,0.0,0.0
0.000156576,2.2,1.0,0.0,0.0
0.000156608,2.2,1.0,0.0,0.2
0.00015664,2.2,1.0,0.0,0.0
0.000156672,2.2,1.0,0.0,0.0
0.000156704,2.2,1.2,0.0,0.0
0.000156736,2.2,1.2,0.0,0.0
0.000156768,2.2,1.0,0.0,0.0
0.0001568,2.0,1.0,0.0,0.2
0.000156832,2.2,1.2,0.0,0.0
0.000156864,2.2,1.0,0.0,0.0
0.000156896,2.2,1.0,0.0,0.0
0.000156928,2.2,1.2,0.0,0.0
0.00015696,2.2,1.0,0.0,0.0
0.000156992,2.2,1.2,0.0,0.0
0.000157024,2.2,1.0,0.0,0.0
0.000157056,2.2,1.0,0.0,0.0
0.000157088,2.0,1.0,0.0,0.0
0.00015712,2.2,1.0,0.0,-0.2
0.000157152,2.2,1.2,0.0,0.0
0.000157184,2.2,1.0,0.0,0.0
0.000157216,2.2,1.2,0.0,0.0
0.000157248,2.2,1.0,0.0,0.0
0.00015728,2.0,1.2,0.0,0.0
0.000157312,2.0,1.0,0.2,0.0
0.000157344,2.2,1.2,0.0,0.0
0.000157376,2.2,1.0,0.0,0.0
0.000157408,2.2,1.0,0.0,0.0
0.00015744,2.2,1.0,0.0,0.0
0.000157472,2.2,1.0,0.0,0.0
0.000157504,2.0,1.0,0.0,0.0
0.000157536,2.2,1.0,0.0,0.2
0.000157568,2.2,1.2,0.0,0.0
0.0001576,2.2,1.2,0.0,0.0
0.000157632,2.2,1.0,0.0,0.0
0.000157664,2.2,1.0,0.0,0.0
0.000157696,2.2,1.2,0.0,0.0
0.000157728,2.2,1.0,0.0,0.0
0.00015776,2.2,1.2,0.0,0.0
0.000157792,2.0,1.0,0.0,0.0
0.000157824,2.2,1.0,0.0,0.0
0.000157856,2.2,1.0,0.0,0.0
0.000157888,2.2,1.0,0.0,0.0
0.00015792,2.2,1.0,0.0,0.0
0.000157952,2.2,1.2,0.0,0.0
0.000157984,2.2,1.0,0.0,0.0
0.000158016,2.2,1.2,0.0,0.0
0.000158048,2.2,1.0,0.0,0.0
0.00015808,2.2,1.0,0.0,0.0
0.000158112,2.0,1.0,0.0,0.0
0.000158144,2.2,1.0,0.0,0.0
0.000158176,2.2,1.0,0.0,0.0
0.000158208,2.2,1.0,0.0,0.0
0.00015824,2.0,1.0,0.0,0.0
0.000158272,2.2,1.0,0.0,0.0
0.000158304,2.0,1.0,0.0,0.0
0.000158336,2.2,1.0,0.0,0.0
0.000158368,2.2,1.0,0.0,0.2
0.0001584,2.2,1.2,0.0,0.0
0.000158432,2.2,1.2,0.0,0.0
0.000158464,2.2,1.0,0.0,0.0
0.000158496,2.2,1.0,0.0,0.0
0.000158528,2.2,1.0,0.0,0.0
0.00015856,2.2,1.0,0.0,0.0
0.000158592,2.2,1.0,0.0,0.0
0.000158624,2.2,1.0,0.0,0.0
0.000158656,2.0,1.2,0.0,0.0
0.000158688,2.2,1.0,0.0,0.2
0.00015872,2.0,1.0,0.0,0.0
0.000158752,2.0,1.0,0.0,0.0
0.000158784,2.2,1.0,-0.2,0.0
0.000158816,2.2,1.0,0.0,0.2
0.000158848,2.2,1.0,0.0,0.0
0.00015888,2.0,1.0,-0.2,0.0
0.000158912,2.2,1.0,0.0,0.0
0.000158944,2.2,1.0,0.0,0.0
0.000158976,2.2,1.0,0.0,0.0
0.000159008,2.2,1.0,0.0,0.0
0.00015904,2.2,1.0,0.0,0.0
0.000159072,2.2,1.0,0.0,0.0
0.000159104,2.2,1.0,0.0,0.0
0.000159136,2.2,1.0,0.0,0.0
0.000159168,2.2,1.0,0.0,0.0
0.0001592,2.2,1.0,0.0,0.0
0.000159232,2.2,1.0,-0.2,0.0
0.000159264,2.2,1.0,0.2,0.0
0.000159296,2.2,1.0,0.0,0.0
0.000159328,2.2,1.0,0.0,0.0
0.00015936,2.2,1.2,0.0,0.0
0.000159392,2.2,1.0,0.0,0.0
0.000159424,2.2,1.0,0.0,0.0
0.000159456,2.2,1.0,0.0,0.2
0.000159488,2.2,1.2,0.0,0.0
0.00015952,2.2,1.0,0.0,0.0
0.000159552,2.0,1.2,0.0,0.0
0.000159584,2.2,1.0,0.0,0.0
0.000159616,2.2,1.2,0.0,0.0
0.000159648,2.2,1.0,0.0,0.0
0.00015968,2.2,1.0,0.0,0.2
0.000159712,2.2,1.2,0.0,0.0
0.000159744,2.2,1.0,0.0,0.0
0.000159776,2.2,1.0,0.0,0.0
0.000159808,2.2,1.0,0.0,0.0
0.00015984,2.2,1.0,0.0,0.0
0.000159872,2.2,1.0,0.0,0.2
0.000159904,2.2,1.0,0.0,0.0
0.000159936,2.2,1.0,0.0,0.0
0.000159968,2.2,1.0,0.0,0.0
0.00016,2.2,1.0,0.0,0.0
