time,triggeredvoltage_ch1,voltage_ch2,voltage_ch3,voltage_ch4
0.0004784,-1.44,1.04,0.0,0.0
0.00047848,-1.44,1.0,0.0,0.0
0.00047856,-1.44,1.0,0.0,0.0
0.00047864,-1.44,1.0,0.0,0.0
0.00047872,-1.44,1.0,0.0,0.0
0.0004788,-1.44,1.0,0.0,0.0
0.00047888,-1.44,1.0,0.0,-0.04
0.00047896,-1.44,1.0,0.0,0.0
0.00047904,-1.44,1.0,0.0,-0.04
0.00047912,-1.44,1.04,0.0,-0.04
0.0004792,-1.4,1.0,0.0,-0.04
0.00047928,-1.44,1.0,0.0,-0.04
0.00047936,-1.44,1.0,0.0,0.0
0.00047944,-1.44,1.0,0.0,0.0
0.00047952,-1.44,1.0,0.0,0.0
0.0004796,-1.44,1.0,-0.04,0.0
0.00047968,-1.44,1.0,0.0,0.0
0.00047976,-1.44,1.0,-0.04,0.0
0.00047984,-1.44,1.0,0.0,0.0
0.00047992,-1.44,1.0,0.0,-0.04
0.00048,-1.4,1.0,-0.04,0.0
0.00048008,-1.44,1.0,0.0,0.0
0.00048016,-1.44,1.0,0.0,0.0
0.00048024,-1.44,1.0,0.0,0.0
0.00048032,-1.44,1.0,0.0,0.0
0.0004804,-1.44,1.0,-0.04,0.0
0.00048048,-1.44,1.0,0.0,0.0
0.00048056,-1.44,1.0,0.0,-0.04
0.00048064,-1.44,1.0,0.0,0.0
0.00048072,-1.44,1.0,0.0,0.0
0.0004808,-1.44,1.0,0.0,0.0
0.00048088,-1.44,1.0,-0.04,0.0
0.00048096,-1.44,1.0,0.0,0.0
0.00048104,-1.44,1.0,0.0,0.0
0.00048112,-1.44,1.0,0.0,0.0
0.0004812,-1.44,1.0,0.0,0.0
0.00048128,-1.44,1.0,0.0,0.0
0.00048136,-1.44,1.0,0.0,0.0
0.00048144,-1.44,1.0,0.0,0.0
0.00048152,-1.48,1.0,0.0,0.0
0.0004816,-1.44,1.0,0.0,0.0
0.00048168,-1.44,1.0,0.0,-0.04
0.00048176,-1.44,1.0,0.0,0.0
0.00048184,-1.48,1.0,0.0,-0.04
0.00048192,-1.44,1.0,0.0,-0.04
0.000482,-1.44,1.0,0.0,0.0
0.00048208,-1.44,1.0,0.0,0.0
0.00048216,-1.44,1.0,0.0,0.0
0.00048224,-1.44,1.0,0.0,0.0
0.00048232,-1.44,1.0,0.0,0.0
0.0004824,-1.44,1.0,0.0,0.0
0.00048248,-1.44,1.0,0.0,0.0
0.00048256,-1.44,1.0,0.0,-0.04
0.00048264,-1.44,1.0,0.0,0.0
0.00048272,-1.44,1.0,0.0,-0.04
0.0004828,-1.48,1.0,0.0,0.0
0.00048288,-1.44,1.0,0.0,0.0
0.00048296,-1.44,1.0,0.0,0.0
0.00048304,-1.44,1.0,0.0,0.0
0.00048312,-1.44,1.0,0.0,0.0
0.0004832,-1.44,1.0,0.0,0.0
0.00048328,-1.44,1.04,0.0,0.0
0.00048336,-1.44,1.0,0.0,0.0
0.00048344,-1.44,1.0,0.0,0.0
0.00048352,-1.48,1.0,0.0,-0.04
0.0004836,-1.44,1.0,0.0,0.0
0.00048368,-1.44,1.0,0.0,0.0
0.00048376,-1.48,1.0,0.0,0.0
0.00048384,-1.48,1.0,0.0,0.0
0.00048392,-1.44,1.04,0.0,0.0
0.000484,-1.44,1.0,0.0,0.0
0.00048408,-1.48,1.0,0.0,0.0
0.00048416,-1.48,1.0,-0.04,0.0
0.00048424,-1.44,1.0,0.0,0.0
0.00048432,-1.44,1.0,0.0,-0.04
0.0004844,-1.44,1.0,0.0,0.0
0.00048448,-1.44,1.0,-0.04,0.0
0.00048456,-1.44,1.0,0.0,0.0
0.00048464,-1.44,1.0,0.0,-0.04
0.00048472,-1.44,1.0,-0.04,-0.04
0.0004848,-1.44,1.0,0.0,0.0
0.00048488,-1.44,1.0,0.0,0.0
0.00048496,-1.44,1.0,0.0,-0.04
0.00048504,-1.44,1.0,0.0,0.0
0.00048512,-1.44,1.0,0.0,0.0
0.0004852,-1.44,1.0,0.0,0.0
0.00048528,-1.44,1.0,0.0,0.0
0.00048536,-1.44,1.0,0.0,0.0
0.00048544,-1.48,1.0,0.0,0.0
0.00048552,-1.44,1.0,0.0,0.0
0.0004856,-1.48,1.0,0.0,0.0
0.00048568,-1.48,1.0,0.0,0.0
0.00048576,-1.48,1.0,0.0,0.0
0.00048584,-1.44,1.0,0.0,0.0
0.00048592,-1.44,1.0,0.0,-0.04
0.000486,-1.48,1.0,0.0,0.0
0.00048608,-1.48,1.0,0.0,0.0
0.00048616,-1.44,1.0,0.0,0.0
0.00048624,-1.48,1.0,0.0,0.0
0.00048632,-1.44,1.04,0.0,0.0
0.0004864,-1.48,1.0,0.0,0.0
0.00048648,-1.44,1.0,0.0,0.0
0.00048656,-1.44,1.0,-0.04,0.0
0.00048664,-1.44,1.0,0.0,0.0
0.00048672,-1.44,1.0,-0.04,0.0
0.0004868,-1.44,1.04,0.0,0.0
0.00048688,-1.44,1.0,0.0,0.0
0.00048696,-1.44,1.04,0.0,0.0
0.00048704,-1.44,1.0,-0.04,-0.04
0.00048712,-1.44,1.0,0.0,0.0
0.0004872,-1.44,1.04,0.0,-0.04
0.00048728,-1.44,1.04,0.0,-0.04
0.00048736,-1.48,1.0,-0.04,-0.04
0.00048744,-1.44,1.0,-0.04,0.0
0.00048752,-1.44,1.0,0.0,-0.04
0.0004876,-1.44,1.0,0.0,-0.04
0.00048768,-1.44,1.0,0.0,0.0
0.00048776,-1.44,1.0,0.0,-0.04
0.00048784,-1.48,1.0,0.0,0.0
0.00048792,-1.44,1.0,-0.04,0.0
0.000488,-1.48,1.0,0.0,0.0
0.00048808,-1.44,1.0,0.0,-0.04
0.00048816,-1.44,1.04,0.0,-0.04
0.00048824,-1.48,1.0,0.0,-0.04
0.00048832,-1.44,1.0,0.0,0.0
0.0004884,-1.44,1.0,-0.04,0.0
0.00048848,-1.48,1.0,0.0,-0.04
0.00048856,-1.44,1.04,0.0,0.0
0.00048864,-1.44,1.0,-0.04,0.0
0.00048872,-1.44,1.0,0.0,0.0
0.0004888,-1.44,1.0,0.0,0.0
0.00048888,-1.44,1.0,-0.04,0.0
0.00048896,-1.44,1.0,0.0,0.0
0.00048904,-1.44,1.0,0.0,0.0
0.00048912,-1.44,1.0,0.0,0.0
0.0004892,-1.44,1.0,0.0,0.0
0.00048928,-1.44,1.0,-0.04,0.0
0.00048936,-1.44,1.04,0.0,0.0
0.00048944,-1.44,1.0,0.0,0.0
0.00048952,-1.44,1.0,0.0,0.0
0.0004896,-1.44,1.0,0.0,0.0
0.00048968,-1.48,1.0,0.0,0.0
0.00048976,-1.44,1.04,0.0,0.0
0.00048984,-1.48,1.0,0.0,0.0
0.00048992,-1.48,1.0,-0.04,0.0
0.00049,-1.48,1.0,0.0,0.0
0.00049008,-1.44,1.0,-0.04,0.0
0.00049016,-1.44,1.0,0.0,0.0
0.00049024,-1.44,1.0,0.0,0.0
0.00049032,-1.44,1.0,0.0,0.0
0.0004904,-1.44,1.0,0.0,0.0
0.00049048,-1.44,1.0,0.0,-0.04
0.00049056,-1.44,1.0,0.0,0.0
0.00049064,-1.44,1.0,-0.04,0.0
0.00049072,-1.44,1.0,0.0,0.0
0.0004908,-1.48,1.0,0.0,-0.04
0.00049088,-1.48,1.0,0.0,-0.04
0.00049096,-1.48,1.0,0.0,-0.04
0.00049104,-1.48,1.0,-0.04,0.0
0.00049112,-1.44,1.0,0.0,0.0
0.0004912,-1.48,1.0,0.0,0.0
0.00049128,-1.44,1.0,-0.04,0.0
0.00049136,-1.44,1.0,0.0,0.0
0.00049144,-1.44,1.0,0.0,0.0
0.00049152,-1.44,1.0,-0.04,0.0
0.0004916,-1.48,1.0,0.0,-0.04
0.00049168,-1.48,1.0,0.0,-0.04
0.00049176,-1.44,1.04,0.0,0.0
0.00049184,-1.44,1.0,0.0,0.0
0.00049192,-1.48,1.0,0.0,0.0
0.000492,-1.44,1.0,-0.04,0.0
0.00049208,-1.44,1.0,0.0,0.0
0.00049216,-1.44,1.0,0.0,0.0
0.00049224,-1.44,1.0,0.0,0.0
0.00049232,-1.48,1.0,0.0,-0.04
0.0004924,-1.44,1.0,-0.04,-0.04
0.00049248,-1.44,1.0,0.0,0.0
0.00049256,-1.44,1.0,0.0,0.0
0.00049264,-1.44,1.04,0.0,0.0
0.00049272,-1.48,1.0,0.0,-0.04
0.0004928,-1.44,1.0,0.0,0.0
0.00049288,-1.44,1.0,0.0,-0.04
0.00049296,-1.44,1.0,0.0,0.0
0.00049304,-1.48,1.0,0.0,-0.04
0.00049312,-1.44,1.04,-0.04,-0.04
0.0004932,-1.44,1.0,0.0,0.0
0.00049328,-1.48,1.0,0.0,0.0
0.00049336,-1.48,1.0,-0.04,0.0
0.00049344,-1.48,1.0,0.0,-0.04
0.00049352,-1.48,1.0,-0.04,0.0
0.0004936,-1.48,1.0,-0.04,0.0
0.00049368,-1.48,1.0,-0.04,0.0
0.00049376,-1.48,1.0,0.0,-0.04
0.00049384,-1.48,1.0,0.0,-0.04
0.00049392,-1.44,1.0,-0.04,0.0
0.000494,-1.44,1.0,0.0,-0.04
0.00049408,-1.48,1.0,0.0,-0.04
0.00049416,-1.48,1.04,0.0,-0.04
0.00049424,-1.48,1.0,0.0,0.0
0.00049432,-1.44,1.0,-0.04,-0.04
0.0004944,-1.48,1.0,-0.04,-0.04
0.00049448,-1.48,1.0,0.0,0.0
0.00049456,-1.48,1.0,-0.04,0.0
0.00049464,-1.48,1.04,0.0,0.0
0.00049472,-1.48,1.0,-0.04,-0.04
0.0004948,-1.44,1.04,0.0,0.0
0.00049488,-1.48,1.0,0.0,0.0
0.00049496,-1.48,1.0,0.0,0.0
0.00049504,-1.48,1.0,0.0,-0.04
0.00049512,-1.48,1.0,0.0,-0.04
0.0004952,-1.48,1.04,0.0,-0.04
0.00049528,-1.48,1.04,-0.04,-0.04
0.00049536,-1.48,1.0,0.0,0.0
0.00049544,-1.48,1.0,0.0,0.0
0.00049552,-1.48,1.0,0.0,-0.04
